Site number,Site type,Litter C:N,Poa C:N,Other C:N,Cheatgrass C:N,SurSo4 (kg/ha),Ca (ppm),Mg (ppm),OM (%),TN (%),NH4 (kg/ha),Surno3 (kg/ha),Total mineral N,%TMN that is NH4,%TMN that is NO3,% cover total shrubs,PNG AC,PNF AC,ANF AC,AIG AC,AIF AC,TOTALVEG AC,Bare,Gravel,Rock,Litter,Cryptogams,Total plant N (g),Total plant C (g),Total plant weight (g)
1,I,36.26,28.03,35.73,33.63,9.75,3133,746,1.82,0.11,14.41,6.74,21.15,68.15,31.85,22.97,17.91,0.2,2.1,0.71,0.2,21.12,69.97,0.22,0,26.5,0.8,0.274153533,8.293607333,19.96666667
2,I,53.94,43.86,31.67,37.5,8.39,3133.67,781.67,1.79,0.1,6.58,7.86,14.44,45.56,54.44,24.74,7.51,3.78,0.1,0.37,0,11.76,65.5,0.1,0,37.77,0.31,0.096703647,3.752962333,9.266666667
3,I,49.17,40.04,36.52,42.7,8.21,3803.67,895.33,1.99,0.12,4.93,5.99,10.92,45.17,54.83,15.77,7.36,0,0.1,0.52,0.1,8.07,81.2,0.29,0.1,15.7,0.7,0.224879477,8.743669667,21
4,I,27.75,31.15,26.58,32.4,12.26,4038.67,890,1.87,0.1,5.29,8.98,14.28,37.08,62.92,24.87,8.85,10.38,0.2,0.1,0,19.53,85.1,0.26,0,11.51,1.32,0.542600233,14.953518,36.1
5,I,37.39,31.52,28.87,33.14,13.59,4382,901.67,2.05,0.11,13.08,10.48,23.56,55.52,44.48,20.22,8.2,3.26,0.3,0.25,0,12.01,64.63,0.35,0,31.17,1.68,0.582723367,17.12388967,42.6
6,I,38.5,48.67,25.77,0,8.82,3806.67,923,1.82,0.11,4.42,5.61,10.03,44.04,55.96,27.68,5.09,6.1,0.2,0.38,0.1,11.87,63.7,0.1,0,34.5,1.3,0.232711103,10.69992633,25.9
7,I,40.5,32.01,30.02,39.63,8.6,3930,760.67,1.99,0.1,5.38,5.99,11.36,47.31,52.69,19.42,7.52,1.76,0.1,0.76,0,10.14,82.57,0.19,1,14.57,0.63,0.237930133,7.753867667,19.46666667
8,I,65.41,49.51,33.75,0,8.55,5115,623.33,2.35,0.12,5.03,4.87,9.89,50.83,49.17,27.92,14.28,6.09,0.25,0.1,0,20.72,75.03,0.1,0,23.32,1.58,0.163493973,7.149838333,17.36666667
10,M,49.92,53.57,43.06,52.43,9.03,2754,761,1.63,0.08,4.41,6.74,11.15,39.59,60.41,24.48,13.18,0.1,0.1,1.8,2.1,17.28,70.15,0.19,0,33.87,1.89,0.275405857,14.09114367,34.33333333
11,M,43.36,60.29,35.12,49.17,9.74,5567,530.67,1.67,0.11,4.05,11.6,15.65,25.89,74.11,36.28,3.91,0,0.71,3.35,0,7.97,44.07,0.61,2.33,57.59,2,0.21389908,11.77210467,28.26666667
