LabID,Sample,Plot,Transect Pair,DateReceived,Test,SurSo4,Ca,Mg,OM,TN,BDFieldWeight(g),BDDryWeight(g),soilMoisture,bulkDensity(g/cm3),NO3-N (ppm),NH4-N (ppm),Plot#,Sam Date,Ext Date(0or3),net mineralization,net netrification
803296,136,J01,A,2016-04-18T00:00:00-05:00,27O,4.092,2828,716,1.24,0.09,230.01,190.76,0.1706447546,1.619217384,0.15,0,J01A,3/19/16,0,0.12,0.12
803297,137,J01,B,2016-04-18T00:00:00-05:00,27O,3.24,3065,733,1.44,0.1,168.95,142.58,0.156081681,1.210253798,0.16,0,J01B,3/19/16,0,0.58,0.46
803298,138,J01,C,2016-04-18T00:00:00-05:00,27O,5.576,3066,699,1.37,0.09,231.24,153.82,0.3348036672,1.305661659,0.17,0,J01C,3/19/16,0,0.09,0.09
803300,139,J02,A,2016-04-18T00:00:00-05:00,27O,3.479,2875,732,1.67,0.11,184.90,165.08,0.1071930773,1.401239284,0.18,0,J02A,3/18/16,0,0.26,0.26
803301,140,J02,B,2016-04-18T00:00:00-05:00,27O,1.909,2658,711,1.35,0.1,173.32,150.07,0.1341449342,1.273830744,0.41,0,J02B,3/18/16,3,NA,NA
803302,141,J02,C,2016-04-18T00:00:00-05:00,27O,2.079,2941,811,1.45,0.1,186.64,159.51,0.1453600514,1.353959766,0.17,0,J02C,3/18/16,0,0.18,0.18
803303,142,J03,A,2016-04-18T00:00:00-05:00,27O,2.34,3318,776,1.66,0.11,156.20,149.49,0.04295774648,1.268907563,0.19,0,J03A,3/18/16,0,0.28,0.28
803304,143,J03,B,2016-04-18T00:00:00-05:00,27O,2.825,3426,772,1.56,0.11,187.67,157.99,0.1581499441,1.341057635,0.19,0,J03B,3/18/16,0,0.31,0.31
803308,144,J03,C,2016-04-18T00:00:00-05:00,27O,3.519,3558,778,1.92,0.12,171.13,139.73,0.1834862385,1.186062304,0.17,0,J03C,3/18/16,0,0.34,0.34
803305,145,J06,A,2016-04-18T00:00:00-05:00,27O,3.375,5461,714,1.82,0.12,191.39,157.72,0.175923507,1.338765809,0.17,0,J06A,3/20/16,0,0.2,0.2
803306,146,J06,B,2016-04-18T00:00:00-05:00,27O,2.79,6428,711,2.16,0.13,161.38,131.34,0.1861445037,1.114845938,0.13,0,J06B,3/20/16,0,0.25,0.25
803307,147,J06,C,2016-04-18T00:00:00-05:00,27O,3.009,5295,682,1.94,0.13,158.72,130.99,0.1747101815,1.111875053,0.13,0,J06C,3/20/16,0,0.26,0.26
803310,148,J07,A,2016-04-18T00:00:00-05:00,27O,3.185,2898,685,1.49,0.1,183.38,158.90,0.1334932926,1.348781937,0.11,0,J07A,3/22/16,0,0.27,0.27
803311,149,J07,B,2016-04-18T00:00:00-05:00,27O,2.935,3310,689,1.32,0.1,188.70,166.07,0.1199258082,1.409642645,0.1,0,J07B,3/22/16,0,0.31,0.31
803312,150,J07,C,2016-04-18T00:00:00-05:00,27O,2.26,2987,666,1.48,0.1,170.86,195.64,-0.1450310195,1.660640014,0,0,J07C,3/22/16,0,0.38,0.38
803313,151,J08,A,2016-04-18T00:00:00-05:00,27O,4.276,4228,608,1.98,0.13,152.05,126.98,0.1648799737,1.077837195,0,0,J08A,3/22/16,0,0.47,0.47
803314,152,J08,B,2016-04-18T00:00:00-05:00,27O,5.174,4681,562,2.17,0.13,165.21,141.15,0.1456328309,1.19811561,0.13,0.16,J08B,3/22/16,0,0.42,0.32
803315,153,J08,C,2016-04-18T00:00:00-05:00,27O,4.298,5112,571,2.18,0.14,145.70,124.46,0.1457789979,1.056446821,0,0,J08C,3/22/16,0,0.43,0.43
803316,154,J10,A,2016-04-18T00:00:00-05:00,27O,3.298,2486,779,1.03,0.08,206.00,169.93,0.1750970874,1.442407266,0,0,J10A,3/21/16,0,0.23,0.23
803317,156,J10,B,2016-04-18T00:00:00-05:00,27O,3,2450,688,1.1,0.08,206.92,185.77,0.1022134158,1.576861047,0,0,J10B,3/21/16,0,0.22,0.22
803318,157,J10,C,2016-04-18T00:00:00-05:00,27O,3,2488,732,1.19,0.08,227.87,183.45,0.194935709,1.557168322,0.12,0.28,J10C,3/21/16,0,0.23,0.15
803320,158,J11,A,2016-04-18T00:00:00-05:00,27O,4.112,2831,874,1.13,0.09,207.66,165.58,0.202638929,1.405483405,0.16,1.41,J11A,3/21/16,0,0.09,0.21
