Site number,Site type,Transect,Species,Dead,Start,Stop,Difference,,Site number,Site type,Transect,Species,Dead,Live,Total,% cover dead,% cover live,% cover total
1,I,0,ARTRIW,X,2365,2380,15,,1,I,0,ARTRIW,490,675,1165,9.8,13.5,23.3
1,I,0,ARTRIW,X,2520,2535,15,,1,I,20,ARTRIW,550,795,1345,11,15.9,26.9
1,I,0,ARTRIW,X,2605,2630,25,,1,I,40,ARTRIW,455,705,1160,9.1,14.1,23.2
1,I,0,ARTRIW,X,2810,2875,65,,1,I,60,ARTRIW,490,510,1000,9.8,10.2,20
1,I,0,ARTRIW,X,3130,3180,50,,1,I,80,ARTRIW,215,800,1015,4.3,16,20.3
1,I,0,ARTRIW,X,3490,3500,10,,1,I,100,ARTRIW,465,740,1205,9.3,14.8,24.1
1,I,0,ARTRIW,X,3550,3590,40,,2,I,0,ARTRIW,225,1025,1250,4.5,20.5,25
1,I,0,ARTRIW,X,3990,4000,10,,2,I,20,ARTRIW,240,1055,1295,4.8,21.1,25.9
1,I,0,ARTRIW,X,4160,4180,20,,2,I,40,ARTRIW,255,590,845,5.1,11.8,16.9
1,I,0,ARTRIW,X,4630,4665,35,,2,I,60,ARTRIW,420,857,1277,8.4,17.14,25.54
1,I,0,ARTRIW,X,4850,4900,50,,2,I,80,ARTRIW,310,1000,1310,6.2,20,26.2
1,I,0,ARTRIW,X,35,45,10,,2,I,100,ARTRIW,495,950,1445,9.9,19,28.9
1,I,0,ARTRIW,X,60,70,10,,3,I,0,ARTRIW,365,415,780,7.3,8.3,15.6
1,I,0,ARTRIW,X,95,100,5,,3,I,20,ARTRIW,140,665,805,2.8,13.3,16.1
1,I,0,ARTRIW,X,150,170,20,,3,I,40,ARTRIW,445,355,800,8.9,7.1,16
1,I,0,ARTRIW,X,315,320,5,,3,I,60,ARTRIW,145,780,925,2.9,15.6,18.5
1,I,0,ARTRIW,X,445,480,35,,3,I,80,ARTRIW,115,475,590,2.3,9.5,11.8
1,I,0,ARTRIW,X,650,680,30,,3,I,100,ARTRIW,210,620,830,4.2,12.4,16.6
1,I,0,ARTRIW,X,1730,1745,15,,4,I,0,ARTRIW,410,865,1275,8.2,17.3,25.5
1,I,0,ARTRIW,X,2080,2105,25,,4,I,20,ARTRIW,350,370,720,7,7.4,14.4
1,I,0,ARTRIW,,110,150,40,,4,I,40,ARTRIW,370,705,1075,7.4,14.1,21.5
1,I,0,ARTRIW,,480,525,45,,4,I,60,ARTRIW,325,1165,1490,6.5,23.3,29.8
1,I,0,ARTRIW,,645,655,10,,4,I,80,ARTRIW,530,660,1190,10.6,13.2,23.8
