"","Plot_Tran","Litter.mean","Bare.mean","Crypto.mean","Rock.mean","Dung.mean","FirstYearSeedlingDensity.mean","BRTE_A.mean","VUBR_A.mean","ELCA_A.mean","Inv_AG_A.mean","ERCI_A.mean","LASE_A.mean","DESO_A.mean","SATR_A.mean","SIAL_A.mean","LEPE_A.mean","UJ1_A.mean","CETE_A.mean","ALMI_A.mean","TRDU_A.mean","Inv_AF_A.mean","POSE_A.mean","ELEL_A.mean","PASM_A.mean","ORHY_A.mean","CARX_A.mean","ACTH_A.mean","Nat_PG_A.mean","TEGL_A.mean","ERNA_A.mean","GRSP_A.mean","CHVI_A.mean","ARTR_A.mean","Shrub_A.mean","UNK9_A.mean","DEPI_A.mean","UJ10_A.mean","UJ13_A.mean","UJ8_A.mean","Nat_AF_A.mean","PHDI_A.mean","UNKJ4_A.mean","UJ11_A.mean","UJ12_A.mean","UJ14_A.mean","UJ4_A.mean","CABR_A.mean","UJ9_A.mean","UJ7_A.mean","CROC_A.mean","DICA_A.mean","AMIN_A.mean","UJ3_A.mean","UNK11_A.mean","UJ5_A.mean","Nat_PF_A.mean"
"1","J01A",55.4545454545455,39.9090909090909,1.5,0.863636363636364,0.25,0.0909090909090909,7.36363636363636,0.0681818181818182,0,7.43181818181818,0,0,0,0,0,0,0,0,0,0,0,4.20454545454545,0,0,0,0,0,4.20454545454545,0,0,0,0,12.3636363636364,12.3636363636364,0.0227272727272727,0.0454545454545455,0,0,0.0227272727272727,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","J01B",57.0454545454545,34.8636363636364,4,1.22727272727273,0.409090909090909,0,7.81818181818182,0.0227272727272727,0,7.84090909090909,0,0,0,0,0,0,0,0.0227272727272727,0,0,0.0227272727272727,3.81818181818182,0,0,0,0,1.13636363636364,4.95454545454545,0,0,0,0,10.8181818181818,10.8181818181818,0,0.0454545454545455,0,0,0,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","J01C",62.7727272727273,32.1363636363636,1.29545454545455,1.04545454545455,0.0909090909090909,0,10.7272727272727,0.0454545454545455,0,10.7727272727273,0,0,0,0,0,0,0,0.0227272727272727,0,0,0.0227272727272727,3.95454545454545,0,0,0,0,0.318181818181818,4.27272727272727,0,0,0,0,15.7272727272727,15.7272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0,0,0,0,0,0.0454545454545455
"4","J02A",25.7727272727273,71.1363636363636,0.318181818181818,1.18181818181818,0.25,0,1.09090909090909,0,0,1.09090909090909,0,0,0,0,0,0,0,0.0227272727272727,0,0,0.0227272727272727,3.97727272727273,0,0,0,0,0,3.97727272727273,0,0,0,0,9.79545454545454,9.79545454545454,0.0227272727272727,0,0,0,0,0.0227272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","J02B",34.6818181818182,62.6818181818182,0.204545454545455,0.909090909090909,0.340909090909091,0,2.20454545454545,0,0,2.20454545454545,0,0,0,0,0,0,0,0,0,0,0,4.63636363636364,0,0,0,0,0,4.63636363636364,0,0,0,0,8,8,0.0227272727272727,0,0,0,0,0.0227272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","J02C",30.4285714285714,65.6190476190476,0.477272727272727,1,0.340909090909091,0,1.29545454545455,0,0,1.29545454545455,0,0,0,0,0,0,0,0.0227272727272727,0,0,0.0227272727272727,5.54545454545455,0.0454545454545455,0,0,0,0,5.59090909090909,0,0,0,0,5.09090909090909,5.09090909090909,0.0227272727272727,0,0,0,0,0.0227272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","J03A",24,67.2272727272727,1.45454545454545,1.5,2.43181818181818,0,0.840909090909091,0,0,0.840909090909091,0,0,0,0,0,0,0,0.204545454545455,0.0227272727272727,0,0.227272727272727,6.11363636363636,0.136363636363636,0,0,0,0,6.25,0,0,0,0,2.45454545454545,2.45454545454545,0.136363636363636,0,0,0,0,0.136363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","J03B",33.9545454545455,60.4090909090909,1.45454545454545,1.65909090909091,0.431818181818182,0.0454545454545455,0.477272727272727,0,0,0.477272727272727,0,0,0,0,0,0,0,0.0909090909090909,0,0,0.0909090909090909,5.68181818181818,0.159090909090909,0,0,0,0,5.84090909090909,0,0,0,0,7.38636363636364,7.38636363636364,0.0227272727272727,0,0,0,0,0.0227272727272727,0,0,0,0,0,0,0.0227272727272727,0,0,0,0,0,0,0,0,0.0227272727272727
"9","J03C",19.7727272727273,74.9545454545455,0.840909090909091,1.43181818181818,0.386363636363636,0,0.613636363636364,0,0,0.613636363636364,0,0,0,0,0,0,0,0.0681818181818182,0,0,0.0681818181818182,5.68181818181818,1.56818181818182,0,0,0,0,7.25,0,0,0,0,6.72727272727273,6.72727272727273,0.0227272727272727,0.0227272727272727,0,0,0,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","J06A",47.1818181818182,40.5909090909091,6.40909090909091,1.63636363636364,0.522727272727273,0.454545454545455,0.431818181818182,0.0681818181818182,0,0.5,0.522727272727273,0,0,0,0,0,0,1.20454545454545,0,0,1.72727272727273,5.18181818181818,1.86363636363636,0,0,0,0,7.04545454545455,0,0,0,2.5,19.2272727272727,21.7272727272727,0.0454545454545455,0.0227272727272727,0,0,0,0.0681818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","J06B",43.6363636363636,37.4545454545455,12.6363636363636,2.22727272727273,0.5,0.136363636363636,0.295454545454545,0.0227272727272727,0,0.318181818181818,1.13636363636364,0,0,0,0,0,0,0.727272727272727,0,0,1.86363636363636,5.43181818181818,1.29545454545455,0,0,0,0,6.72727272727273,0,0,0,0.0909090909090909,21.3181818181818,21.4090909090909,0,0,0,0,0,0,0.136363636363636,0,0,0,0,0.0227272727272727,0,0,0,0,0,0,0,0,0,0.159090909090909
"12","J06C",29.4090909090909,51.6590909090909,12.2045454545455,3.11363636363636,1.75,0.272727272727273,0.136363636363636,0.0454545454545455,0,0.181818181818182,0.159090909090909,0.0227272727272727,0,0,0,0,0,1.77272727272727,0,0,1.95454545454545,5.25,1.75,0,0,0,0,7,0,0,0,0.909090909090909,15.7272727272727,16.6363636363636,0.0681818181818182,0.0227272727272727,0,0,0,0.0909090909090909,0.0454545454545455,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0,0,0,0.0909090909090909
"13","J07A",41.1363636363636,50.5454545454545,2.88636363636364,2.04545454545455,0.431818181818182,5.95454545454545,0.159090909090909,0,0,0.159090909090909,0,0,0,0,0,0,0,0.136363636363636,0,0,0.136363636363636,7.43181818181818,0.363636363636364,0,0,0,0,7.79545454545455,0,0,0,0,21.3863636363636,21.3863636363636,0,0,0,0,0,0,0.272727272727273,0,0.272727272727273,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0.590909090909091
"14","J07B",33.5454545454545,58.1818181818182,2.56818181818182,3.38636363636364,0.272727272727273,4.13636363636364,0,0,0,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0.0454545454545455,6.93181818181818,0.181818181818182,0,0,0,0,7.11363636363636,0,0,0,0,12.75,12.75,0,0,0,0,0,0,0.545454545454545,0,0.136363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0.681818181818182
"15","J07C",35.2727272727273,57.7727272727273,0.863636363636364,3,2.04545454545455,4.40909090909091,0.0454545454545455,0,0,0.0454545454545455,0,0,0,0,0,0,0,0.0454545454545455,0,0,0.0454545454545455,7.04545454545455,0.590909090909091,0,0.0454545454545455,0,0,7.68181818181818,0,0,0,0,18.6590909090909,18.6590909090909,0,0,0,0,0,0,0.0681818181818182,0,0.0681818181818182,0,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0.181818181818182
"16","J08A",32.9545454545455,55.2272727272727,7.68181818181818,1.59090909090909,0.454545454545455,0,0.227272727272727,0,0,0.227272727272727,0,0,0,0,0,0,0,1.09090909090909,0,0,1.09090909090909,7.84090909090909,0.0227272727272727,0,0,0,0,7.86363636363636,0,0,0,0,19.75,19.75,0.545454545454545,0.0681818181818182,0.0227272727272727,0.0227272727272727,0,0.659090909090909,0.0227272727272727,0,0.272727272727273,0.204545454545455,0,0,0,0,0,0,0,0,0,0,0,0.5
"17","J08B",57.9090909090909,28.6363636363636,6.86363636363636,0.727272727272727,2.59090909090909,0,0.0909090909090909,0.0454545454545455,0,0.136363636363636,0,0,0,0,0,0,0,1.40909090909091,0,0,1.40909090909091,10.4090909090909,0.272727272727273,0,0,0,0,10.6818181818182,0,0,0,0,19.2272727272727,19.2272727272727,0.25,0.136363636363636,0,0,0,0.386363636363636,0.136363636363636,0,0.909090909090909,0.113636363636364,0,0,0,0,0,0,0,0,0,0,0,1.15909090909091
"18","J08C",46.0909090909091,40.5454545454545,8.59090909090909,1.47727272727273,0.681818181818182,0.0909090909090909,0.25,0.295454545454545,0,0.545454545454545,0,0,0,0,0,0,0,0.727272727272727,0,0,0.727272727272727,7.11363636363636,0.227272727272727,0,0,0,0,7.34090909090909,0,0,0,0,18.1818181818182,18.1818181818182,0.113636363636364,0.409090909090909,0,0,0,0.522727272727273,0.0227272727272727,0,1.47727272727273,0.159090909090909,0.0227272727272727,0,0,0,0,0,0,0,0,0,0,1.68181818181818
"19","J10A",42.2727272727273,48.1363636363636,4.93181818181818,1.09090909090909,0.431818181818182,2.63636363636364,2.34090909090909,0.0227272727272727,0,2.36363636363636,0,0,0,0,0,0,0,0.0909090909090909,0,0.0227272727272727,0.113636363636364,7.15909090909091,0.136363636363636,0,0,0,0,7.29545454545455,2.09090909090909,0,0,0,11.4545454545455,13.5454545454545,0.0454545454545455,0.181818181818182,0,0,0,0.227272727272727,0,0.0227272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227272727272727
