Collection Date,Plot#,TransectPair,FieldWeight,DryWeight(g),soilMoisture,bulkDensity(g/cm3)
3/19/16,J01,A,230.01,190.76,0.1706447546,1.619217384
3/19/16,J01,B,168.95,142.58,0.156081681,1.210253798
3/19/16,J01,C,231.24,153.82,0.3348036672,1.305661659
3/18/16,J02,A,184.90,165.08,0.1071930773,1.401239284
3/18/16,J02,B,173.32,150.07,0.1341449342,1.273830744
3/18/16,J02,C,186.64,159.51,0.1453600514,1.353959766
3/18/16,J03,A,156.20,149.49,0.04295774648,1.268907563
3/18/16,J03,B,187.67,157.99,0.1581499441,1.341057635
3/18/16,J03,C,171.13,139.73,0.1834862385,1.186062304
3/20/16,J06,A,191.39,157.72,0.175923507,1.338765809
3/20/16,J06,B,161.38,131.34,0.1861445037,1.114845938
3/20/16,J06,C,158.72,130.99,0.1747101815,1.111875053
3/22/16,J07,A,183.38,158.90,0.1334932926,1.348781937
3/22/16,J07,B,188.70,166.07,0.1199258082,1.409642645
3/22/16,J07,C,170.86,195.64,-0.1450310195,1.660640014
3/22/16,J08,A,152.05,126.98,0.1648799737,1.077837195
3/22/16,J08,B,165.21,141.15,0.1456328309,1.19811561
3/22/16,J08,C,145.70,124.46,0.1457789979,1.056446821
3/21/16,J10,A,206.00,169.93,0.1750970874,1.442407266
3/21/16,J10,B,206.92,185.77,0.1022134158,1.576861047
3/21/16,J10,C,227.87,183.45,0.194935709,1.557168322
3/21/16,J11,A,207.66,165.58,0.202638929,1.405483405
3/21/16,J11,B,215.93,180.89,0.1622748113,1.535438418
3/21/16,J11,C,206.16,172.12,0.1651144742,1.46099652
3/24/16,J12,A,201.09,180.61,0.101844945,1.53306171
3/24/16,J12,B,180.18,153.31,0.1491286491,1.301332654
3/24/16,J12,C,194.64,171.08,0.1210439786,1.452168746
3/21/16,J13,A,201.93,170.69,0.1547070767,1.448858331
3/21/16,J13,B,177.50,150.45,0.1523943662,1.277056277
3/21/16,J13,C,144.78,121.66,0.159690565,1.032679739
3/20/16,J14,A,215.10,187.82,0.1268247327,1.594261947
3/20/16,J14,B,216.08,184.96,0.1440207331,1.56998557
3/20/16,J14,C,199.86,174.73,0.1257380166,1.483150836
3/19/16,J16,A,225.68,185.45,0.1782612549,1.574144809
3/19/16,J16,B,216.19,174.89,0.1910356631,1.484508955
3/19/16,J16,C,223.60,180.11,0.1944991055,1.528817588
3/21/16,J18,A,211.87,169.50,0.1999811205,1.438757321
3/21/16,J18,B,191.62,153.51,0.1988832063,1.303030303
3/21/16,J18,C,204.59,163.43,0.2011828535,1.387233681
3/19/16,J22,A,209.24,171.80,0.1789332824,1.458280282
3/19/16,J22,B,217.55,175.12,0.195035624,1.486461251
3/19/16,J22,C,195.15,172.92,0.1139123751,1.467787115
3/18/16,J23,A,185.02,163.45,0.1165819911,1.387403446
3/18/16,J23,B,188.34,165.34,0.122119571,1.403446227
3/18/16,J23,C,166.86,149.52,0.1039194534,1.26916221
3/20/16,J24,A,167.78,137.90,0.1780903564,1.170528818
3/20/16,J24,B,215.18,189.30,0.1202714007,1.606824548
3/20/16,J24,C,185.85,164.10,0.1170298628,1.392920805
3/19/16,J25,A,202.02,167.31,0.1718146718,1.420168067
3/19/16,J25,B,201.20,166.53,0.1723161034,1.413547237
3/19/16,J25,C,215.34,176.36,0.1810160676,1.496986673
3/23/16,J26,A,220.75,190.02,0.139207248,1.612936084
3/23/16,J26,B,190.50,163.69,0.1407349081,1.389440625
3/23/16,J26,C,183.92,159.08,0.1350587212,1.350309821
3/23/16,J27,A,157.80,138.41,0.1228770596,1.174857822
3/23/16,J27,B,170.95,145.28,0.1501608658,1.233172057
3/23/16,J27,C,194.77,159.65,0.1803152436,1.35514812
3/23/16,J28,A,204.78,182.93,0.106699873,1.552754435
3/23/16,J28,B,183.92,171.54,0.06731187473,1.456073338
3/23/16,J28,C,199.00,187.42,0.05819095477,1.59086665
