Site_number,Transect,Site.type,Bromus_TN_pct,Bromus_TC_pct,Bromus_CN,Other_TN_pct,Other_TC_pct,Other_CN,Poa_TN_pct,Poa_TC_pct,Poa_CN,Litter_TN_pct,Litter_TC_pct,Litter_CN,SOIL_SurSo4_kg_ha,SOIL_Ca_kg_ha,SOIL_Mg_kg_ha,SOIL_OM_pct,SOIL_TN_pct,SOIL_CN,Bare,Litter,Crypto,AIG,AIF,PNF,PNG,ANF,Shrubs,Rock,Year,ppt_2yrtot,ppt_2yr,ppt_1yr,tmax,tmin,vpdmx,shrub_b,soil_n_kg_ha,soil_c_kg_ha,inv,NO3_kg_ha,NH4_kg_ha,total_mineral_n
1,A,Intact Sagebrush,1.16,39.7,34.29,1.1,39.58,36.02,1.58,42.36,26.7751722394286,1.06,35.57,33.59241,0.07910114985255554,5124.82302036,1228.985994456,1.97,0.12,16.4166666666667,69,27,0.08965517241379312,0.34,0.02,0.03,8.21,0.01,25.1,0.18,2013,331.279997348785,194.709999918938,190.499996542931,21.2199993133545,-12.1899995803833,21.9500007629395,Shrub,1685.3577791999999,27667.9568752,-2.498965310904104,5.61363636363636,5.17240454545455,10.78604090909091
1,B,Intact Sagebrush,1.17,40.9,34.84,NA,NA,NA,1.37,42.22,30.722602241304,0.93,34.97,37.65261,0.19240730741694567,3956.319665662,921.003140278,1.68,0.1,16.8,66.7,30,0.07586206896551724,0.47,0,0,7.6,0.03,21.6,0.06,2013,331.279997348785,194.709999918938,190.499996542931,21.2199993133545,-12.1899995803833,21.9500007629395,Shrub,1404.4648160000004,23595.008908800002,-2.1945975069700348,7.85909090909091,32.5590909090909,40.41818181818181
1,C,Intact Sagebrush,1.2,37.99,31.78,1.15,40.89,35.44,1.58,41.94,26.6068142884335,0.83,31.08,37.532,-0.2570921888933499,3871.286818935,937.465071162,1.81,0.1,18.1,74.2,22.5,0.27586206896551724,1.04,0.2,0,6,0.02,22.2,0.25,2013,331.279997348785,194.709999918938,190.499996542931,21.2199993133545,-12.1899995803833,21.9500007629395,Shrub,1404.4648160000004,25420.813169600005,-2.5009963709580068,6.73636363636364,5.50248636363636,12.23885
2,A,Intact Sagebrush,1.01,40.52,39.94,1.24,39.22,31.52,1.09,41.55,37.9831779118669,0.58,39.85,68.44438,-0.5405127967188351,4671.731772856,1097.170359372,1.68,0.1,16.8,56.5,41.6,0.15172413793103448,0.27,0,0.53,4.3,0.01,25.45,0.06,2013,490.610002994537,301.340003252029,296.009999513626,17.9699993133545,-9.0600004196167,16.9099998474121,Shrub,1404.4648160000004,23595.008908800002,-1.6405872035077622,7.85909090909091,6.12447727272727,13.98356818181818
2,B,Intact Sagebrush,1.14,36.95,32.29,1.27,40.23,31.76,1.12,40.28,36.077026421854,0.78,35.33,45.33114,-0.3433911253396636,3831.682877952,946.456242792,1.8,0.1,18,69.4,29.3,0.020689655172413793,0.37,0,0.12,3.31,0.03,21.22,0.06,2013,490.610002994537,301.340003252029,296.009999513626,17.9699993133545,-9.0600004196167,16.9099998474121,Shrub,1404.4648160000004,25280.366688000002,-1.6403455002026366,8.98181818181818,7.63117727272727,16.61299545454545
2,C,Intact Sagebrush,0.97,39.24,40.26,1.27,40.15,31.74,0.73,42.17,57.5244175260545,0.72,34.39,48.03698,-0.22667026165687995,4141.762924194,1108.893048354,1.89,0.11,17.1818181818182,70.6,27.31,0.020689655172413793,0.24,0,0.41,5.01,0.03,27.55,0.02,2013,490.610002994537,301.340003252029,296.009999513626,17.9699993133545,-9.0600004196167,16.9099998474121,Shrub,1544.9112976000001,26544.3850224,-2.1086790702682476,6.73636363636364,5.97852272727273,12.71488636363637
3,A,Intact Sagebrush,0.93,38.39,41.45,1.17,42.08,35.84,1.01,42,41.5482785912149,0.63,34.51,54.55206,-0.17824352034168064,4927.168067129,1126.789915944,2.03,0.12,16.9166666666667,83.1,13.7,0.296551724137931,0.52,0,0,5.11,0.03,15.85,0.06,2013,274.079998612404,162.15999674797,162.000002503395,22.1800003051758,-13.0799999237061,23.7399997711182,Shrub,1685.3577791999999,28510.635764799998,-2.604125141123833,6.73636363636364,4.56051818181818,11.29688181818182
3,B,Intact Sagebrush,0.91,34.62,37.85,1.29,40.93,31.84,1.08,41.29,38.3423105497771,0.75,30.78,41.20876,-0.6202927487573344,5129.545453875,1194.882352785,1.81,0.11,16.4545454545455,94.5,2.8,0.12413793103448276,0.05,0,0,5.3,0.07,17.25,0.35,2013,274.079998612404,162.15999674797,162.000002503395,22.1800003051758,-13.0799999237061,23.7399997711182,Shrub,1544.9112976000001,25420.813169600005,-2.8595336498256145,5.61363636363636,5.20833181818182,10.82196818181818
3,C,Intact Sagebrush,0.86,42.08,48.78,0.99,41.51,41.88,1.07,42.93,40.2211187107655,0.71,36.75,51.73448,-0.46538926211448944,4391.988711712,1075.758509728,2.13,0.12,17.75,66,30.6,0.6344827586206897,0.26,0.02,0,4.9,0.04,14.2,0.15,2013,274.079998612404,162.15999674797,162.000002503395,22.1800003051758,-13.0799999237061,23.7399997711182,Shrub,1685.3577791999999,29915.100580799997,-2.4338635129009365,5.61363636363636,5.03094090909091,10.64457727272727
4,A,Intact Sagebrush,1.16,40.45,34.8,1.52,40.72,26.82,1.38,42.06,30.4996736529117,0.95,28.83,30.47449,0.49072845103171997,5863.92718353225,1329.49024274825,1.9,0.11,17.2727272727273,93.5,3.51,0.22068965517241382,0.04,0,0.81,4.61,0.09,19.95,0.26,2013,197.219997525215,125.239998579025,115.109999299049,22,-13.539999961853,23.5400009155273,Shrub,1544.9112976000001,26684.831504,-2.963499982603525,8.98181818181818,5.01859090909091,14.000409090909091
