exogenous_var,effect_type,mediator(s),median,ci_025,ci_975,sig
aet,Indirect (multiple pathways),png aig,-0.3021763799957885,-0.6706893186481401,-0.07095337990421927,*
aet,Indirect (single pathway),aig,-0.36858240144698384,-0.751107093357406,-0.10326585426905327,*
aet,Indirect (single pathway),png aig,0.054516042927966385,-0.00592934546359825,0.2025395900952693,
aet,Total,aig png,-0.10990632231872052,-0.516294710136345,0.1888919643973092,
cwd,Indirect (multiple pathways),png aig,-0.1504508541784083,-0.41876151891199315,0.020104451571372833,
cwd,Indirect (single pathway),aig,-0.22362541569891214,-0.49536628350121814,-0.037132998596255816,*
cwd,Indirect (single pathway),png aig,0.06391923666536521,-0.006471629529869308,0.19685316439564476,
cwd,Total,aig png,0.2198118381901264,-0.19676304598514288,0.49596194254078024,
lit,Indirect (single pathway),png aig,-0.23414350811561213,-0.7079349514111472,0.02390816676858031,
lit,Total,png aig,0.21264611643436512,-0.44867625161021196,0.8779930785984955,
p2,Indirect (multiple pathways),png aig,-0.4682577427919987,-0.912311845639157,-0.13699335850399566,*
p2,Indirect (single pathway),aig,-0.595758126010878,-1.0351450664192874,-0.19412403653848384,*
p2,Indirect (single pathway),png aig,0.10552655733910382,-0.018294899541759363,0.3475443084218737,
p2,Total,aig png,-0.5798685332223505,-0.9547033611180067,-0.22504268163833263,*
shr,Indirect (multiple pathways),lit aig,0.06911041679954735,-2.425868435779325,0.6250115976300765,
shr,Indirect (single pathway),aig,0.402133966809814,0.08593716321598832,0.8449732393173875,*
shr,Indirect (single pathway),bsc lit,-0.6179047753724781,-4.579848447310097,0.09614387300715796,
shr,Indirect (single pathway),lit,-0.32860353688057,-2.8894246390151657,0.04634901320669725,
shr,Total,aig,0.3491148655087134,-0.06804421400410343,0.9373063582827414,
tmn,Indirect (multiple pathways),png aig,0.1850686200049193,0.015875152019633403,0.45885577776428854,*
tmn,Indirect (single pathway),aig,0.24725239925873077,0.06749748290183497,0.4912130089477873,*
tmn,Indirect (single pathway),png aig,-0.05083278017785545,-0.20592885531901955,0.018532384068317993,
tmn,Total,aig png,0.2180518995942755,-0.12653715929402182,0.5792322308193,
