x,sN,sC,AIG,AIF,Litter,PNG,sd_cwd,aet,p2,BSC,tmn,Shrubs
sN,0.032,0.039,-0.051,-0.018,-0.011,0.032,0.007,0.001,-0.006,0.039,0.005,0.029
sC,0.039,0.062,-0.076,-0.038,-0.012,0.033,0.012,0.003,-0.024,0.052,0.003,0.026
AIG,-0.051,-0.076,0.452,0.238,0.17,-0.196,0,0.002,0.084,-0.243,-0.022,-0.199
AIF,-0.018,-0.038,0.238,0.679,0.179,-0.22,-0.008,0.006,0.06,-0.299,-0.012,-0.338
Litter,-0.011,-0.012,0.17,0.179,0.152,-0.168,-0.002,-0.01,0.03,-0.199,-0.014,-0.175
PNG,0.032,0.033,-0.196,-0.22,-0.168,0.416,0.018,0.015,0.002,0.282,0.017,0.264
sd_cwd,0.007,0.012,0,-0.008,-0.002,0.018,0.022,-0.01,0.001,0.023,0.006,0.015
aet,0.001,0.003,0.002,0.006,-0.01,0.015,-0.01,0.045,-0.017,0.023,0.002,0.026
p2,-0.006,-0.024,0.084,0.06,0.03,0.002,0.001,-0.017,0.075,-0.069,0.023,0.008
BSC,0.039,0.052,-0.243,-0.299,-0.199,0.282,0.023,0.023,-0.069,0.696,0.011,0.292
tmn,0.005,0.003,-0.022,-0.012,-0.014,0.017,0.006,0.002,0.023,0.011,0.055,0.038
Shrubs,0.029,0.026,-0.199,-0.338,-0.175,0.264,0.015,0.026,0.008,0.292,0.038,0.473
