,Plot_TP,Litter,Bare,Crypto,Rock,Dung,FirstYearSeedlings,AIG,AIF,NPG,Shrub,ANF,PNF,TN_BRTE,TC_BRTE,C.N_BRTE,TN_LIT,TC_LIT,C.N_LIT,TN_OTHER,TC_OTHER,C.N_OTHER,TN_POSE,TC_POSE,C.N_POSE,SurSo4_SOIL,Ca_SOIL,Mg_SOIL,SOIL_TC,SOIL_TN,C.N_SOIL,BDFieldWeight.g.,BDDryWeight.g.,soilMoisture,bulkDensity.g.cm3.,NO3.N..ppm.,NH4.N..ppm.,Sam.Date,Ext.Date.0or3.,net.mineralization,net.netrification,Plot
1,J01A,55.4545454545455,39.9090909090909,1.5,0.863636363636364,0.25,0.0909090909090909,7.43181818181818,0,4.20454545454545,12.3636363636364,0.0909090909090909,0,0.77,42.81,55.5974026,1.43,27.27,19.06993007,1.07,41.93,39.18691589,0.49,44.09,89.97959184,4.092,2828,716,1.24,0.09,13.77777778,230.01,190.76,0.1706447546,1.619217384,0.15,0,2016/03/19,0,0.12,0.12,J01
2,J01B,57.0454545454545,34.8636363636364,4,1.22727272727273,0.409090909090909,0,7.84090909090909,0.0227272727272727,4.95454545454545,10.8181818181818,0.0454545454545455,0,0.52,43.49,83.63461538,1.3,31.32,24.09230769,0.81,42.56,52.54320988,0.56,44.09,78.73214286,3.24,3065,733,1.44,0.1,14.4,168.95,142.58,0.156081681,1.210253798,0.16,0,2016/03/19,0,0.58,0.46,J01
3,J01C,62.7727272727273,32.1363636363636,1.29545454545455,1.04545454545455,0.0909090909090909,0,10.7727272727273,0.0227272727272727,4.27272727272727,15.7272727272727,0,0.0454545454545455,0.64,43.27,67.609375,0.7,41.19,58.84285714,0.7,41.38,59.11428571,0.49,43.63,89.04081633,5.576,3066,699,1.37,0.09,15.22222222,231.24,153.82,0.3348036672,1.305661659,0.17,0,2016/03/19,0,0.09,0.09,J01
4,J02A,25.7727272727273,71.1363636363636,0.318181818181818,1.18181818181818,0.25,0,1.09090909090909,0.0227272727272727,3.97727272727273,9.79545454545454,0.0227272727272727,0,0.86,42.08,48.93023256,1.39,28.39,20.42446043,NA,NA,NA,0.55,44.24,80.43636364,3.479,2875,732,1.67,0.11,15.18181818,184.9,165.08,0.1071930773,1.401239284,0.18,0,2016/03/18,0,0.26,0.26,J02
5,J02B,34.6818181818182,62.6818181818182,0.204545454545455,0.909090909090909,0.340909090909091,0,2.20454545454545,0,4.63636363636364,8,0.0227272727272727,0,0.59,42.11,71.37288136,1.15,25.22,21.93043478,NA,NA,NA,0.49,43.89,89.57142857,1.909,2658,711,1.35,0.1,13.5,173.32,150.07,0.1341449342,1.273830744,0.41,0,2016/03/18,3,NA,NA,J02
6,J02C,30.4285714285714,65.6190476190476,0.477272727272727,1,0.340909090909091,0,1.29545454545455,0.0227272727272727,5.59090909090909,5.09090909090909,0.0227272727272727,0,0.62,42.93,69.24193548,1.1,27.72,25.2,0.62,40.9,65.96774194,0.49,43.85,89.48979592,2.079,2941,811,1.45,0.1,14.5,186.64,159.51,0.1453600514,1.353959766,0.17,0,2016/03/18,0,0.18,0.18,J02
7,J03A,24,67.2272727272727,1.45454545454545,1.5,2.43181818181818,0,0.840909090909091,0.227272727272727,6.25,2.45454545454545,0.136363636363636,0,0.82,43.21,52.69512195,1.34,36.24,27.04477612,1.18,40.13,34.00847458,0.55,44.7,81.27272727,2.34,3318,776,1.66,0.11,15.09090909,156.2,149.49,0.04295774648,1.268907563,0.19,0,2016/03/18,0,0.28,0.28,J03
8,J03B,33.9545454545455,60.4090909090909,1.45454545454545,1.65909090909091,0.431818181818182,0.0454545454545455,0.477272727272727,0.0909090909090909,5.84090909090909,7.38636363636364,0.0227272727272727,0.0227272727272727,0.71,42.99,60.54929577,0.91,33.29,36.58241758,NA,NA,NA,0.48,44.87,93.47916667,2.825,3426,772,1.56,0.11,14.18181818,187.67,157.99,0.1581499441,1.341057635,0.19,0,2016/03/18,0,0.31,0.31,J03
9,J03C,19.7727272727273,74.9545454545455,0.840909090909091,1.43181818181818,0.386363636363636,0,0.613636363636364,0.0681818181818182,7.25,6.72727272727273,0.0454545454545455,0,0.79,43.62,55.21518987,0.97,26.73,27.55670103,0.96,41.76,43.5,0.44,44.39,100.8863636,3.519,3558,778,1.92,0.12,16,171.13,139.73,0.1834862385,1.186062304,0.17,0,2016/03/18,0,0.34,0.34,J03
10,J06A,47.1818181818182,40.5909090909091,6.40909090909091,1.63636363636364,0.522727272727273,0.454545454545455,0.5,1.72727272727273,7.04545454545455,21.7272727272727,0.0681818181818182,0,0.56,43.3,77.32142857,1.06,27.43,25.87735849,0.78,41.61,53.34615385,0.59,45.12,76.47457627,3.375,5461,714,1.82,0.12,15.16666667,191.39,157.72,0.175923507,1.338765809,0.17,0,2016/03/20,0,0.2,0.2,J06
