"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-01",,,,,"0.00",",,7,2000","0.0",",,7,2000","1",",,7,2000","32",",,7","9",",,7","20",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-03","    2",",,7","0.21",",,7",,,"6.0",",,7,2000","7",",,7,2000","35",",,7","22",",,7","30",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-04",,,,,"0.44",",,7,2000","6.0",",,7,2000","10",",,7,2000","37",",,7","17",",,7","17",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-05",,,,,"0.00",",,7,2000","0.0",",,7,2000","9",",,7,2000","21",",,7","-4",",,7","-4",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-06",,,,,"0.00",",,7,2000","0.0",",,7,2000","9",",,7,2000","12",",,7","-26",",,7","2",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-07",,,,,"0.06",",,7,2000","1.0",",,7,2000","9",",,7,2000","29",",,7","-10",",,7","28",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-08",,,,,"0.56",",,7,2000","0.0",",,7,2000","6",",,7,2000","40",",,7","26",",,7","38",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-09",,,,,"0.05",",,7,2000","0.0",",,7,2000","3",",,7,2000","41",",,7","35",",,7","35",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-10",,,,,"0.00","T,,7,2000","0.0",",,7,2000","1",",,7,2000","42",",,7","35",",,7","39",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-11",,,,,"0.11",",,7,2000","0.0",",,7,2000","0","T,,7,2000","43",",,7","34",",,7","36",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-12",,,,,"0.05",",,7,2000","1.0",",,7,2000","1",",,7,2000","36",",,7","9",",,7","26",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-13",,,,,"0.00",",,7,2000","0.0",",,7,2000","1",",,7,2000","35",",,7","20",",,7","25",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-14",,,,,"0.00",",,7,2000","0.0",",,7,2000","0","T,,7,2000","33",",,7","10",",,7","18",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-15",,,,,"0.00",",,7,2000","0.0",",,7,2000","0","T,,7,2000","28",",,7","8",",,7","25",",,7,2000","    1",",,7",,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-16",,,,,"0.00",",,7,2000","0.0",",,7,2000","0","T,,7,2000","28",",,7","22",",,7","26",",,7,2000",,,,,,,,,,,,
