lhs,op,rhs,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox
i_aet_aig_n,:=,aet_aig*aig_n,i_aet_aig_n,-0.34,0.12,-2.94,0,-0.57,-0.11,-0.34,-0.41,-1.92
i_aet_aig_c,:=,aet_aig*aig_c,i_aet_aig_c,-0.46,0.16,-2.9,0,-0.77,-0.15,-0.46,-0.39,-1.84
i_aet_png_aig,:=,aet_png*png_aig,i_aet_png_aig,-0.3,0.2,-1.5,0.13,-0.68,0.09,-0.3,-0.09,-0.44
T_aet_n_aig,:=,i_aet_aig_n+aet_n,T_aet_n_aig,-0.19,0.15,-1.28,0.2,-0.47,0.1,-0.19,-0.22,-1.04
T_aet_n_ag_pg,:=,i_aet_aig_n+i_aet_png_aig+aet_n,T_aet_n_ag_pg,-0.48,0.25,-1.94,0.05,-0.97,0,-0.48,-0.32,-1.48
T_aet_c_aig,:=,i_aet_aig_c+aet_c,T_aet_c_aig,-0.2,0.19,-1.02,0.31,-0.58,0.18,-0.2,-0.17,-0.79
T_aet_c_ag_pg,:=,i_aet_aig_c+i_aet_png_aig+aet_c,T_aet_c_ag_pg,-0.49,0.28,-1.77,0.08,-1.04,0.05,-0.49,-0.26,-1.23
i_tmn_aig_n,:=,tmn_aig*aig_n,i_tmn_aig_n,0.2,0.08,2.65,0.01,0.05,0.36,0.2,0.27,1.15
i_tmn_aig_c,:=,tmn_aig*aig_n,i_tmn_aig_c,0.2,0.08,2.65,0.01,0.05,0.36,0.2,0.27,1.15
i_tmn_png_aig,:=,tmn_png*png_aig,i_tmn_png_aig,0.25,0.17,1.49,0.14,-0.08,0.58,0.25,0.09,0.38
T_tmn_aig_c,:=,i_tmn_aig_c+tmn_c,T_tmn_aig_c,0.23,0.11,1.99,0.05,0,0.45,0.23,0.29,1.23
T_tmn_ag_pg_c,:=,i_tmn_aig_c+i_tmn_png_aig+tmn_c,T_tmn_ag_pg_c,0.48,0.21,2.32,0.02,0.07,0.88,0.48,0.38,1.6
i_p2_aig_n,:=,p2_aig*aig_n,i_p2_aig_n,-0.41,0.13,-3.26,0,-0.66,-0.16,-0.41,-0.63,-2.32
i_p2_aig_c,:=,p2_aig*aig_c,i_p2_aig_c,-0.56,0.17,-3.21,0,-0.9,-0.22,-0.56,-0.61,-2.22
i_p2_png_aig,:=,p2_png*png_aig,i_p2_png_aig,-0.42,0.24,-1.74,0.08,-0.9,0.05,-0.42,-0.17,-0.63
T_p2_n_aig,:=,i_p2_aig_n+p2_n,T_p2_n_aig,-0.32,0.13,-2.58,0.01,-0.57,-0.08,-0.32,-0.5,-1.81
T_p2_n_ag_pg,:=,i_p2_aig_n+i_p2_png_aig+p2_n,T_p2_n_ag_pg,-0.75,0.28,-2.71,0.01,-1.29,-0.21,-0.75,-0.67,-2.44
T_p2_c_aig,:=,i_p2_aig_c+p2_c,T_p2_c_aig,-0.63,0.17,-3.71,0,-0.96,-0.3,-0.63,-0.68,-2.5
T_p2_c_ag_pg,:=,i_p2_aig_c+i_p2_png_aig+p2_c,T_p2_c_ag_pg,-1.05,0.3,-3.51,0,-1.63,-0.46,-1.05,-0.86,-3.13
i_sd_cwd_aig_n,:=,sd_cwd_aig*aig_n,i_sd_cwd_aig_n,-0.31,0.12,-2.57,0.01,-0.55,-0.07,-0.31,-0.26,-1.75
i_sd_cwd_aig_c,:=,sd_cwd_aig*aig_c,i_sd_cwd_aig_c,-0.42,0.16,-2.55,0.01,-0.74,-0.1,-0.42,-0.25,-1.68
i_sd_cwd_png_aig,:=,sd_cwd_png*png_aig,i_sd_cwd_png_aig,-0.48,0.29,-1.68,0.09,-1.04,0.08,-0.48,-0.11,-0.72
T_sd_cwd_n_aig,:=,i_sd_cwd_aig_n+sd_cwd_n,T_sd_cwd_n_aig,0.04,0.19,0.23,0.82,-0.33,0.42,0.04,0.04,0.25
T_sd_cwd_n_ag_pg,:=,i_sd_cwd_aig_n+i_sd_cwd_png_aig+sd_cwd_n,T_sd_cwd_n_ag_pg,-0.44,0.35,-1.23,0.22,-1.13,0.26,-0.44,-0.07,-0.47
T_sd_cwd_c_aig,:=,i_sd_cwd_aig_c+sd_cwd_c,T_sd_cwd_c_aig,0.23,0.26,0.92,0.36,-0.27,0.73,0.23,0.14,0.94
T_sd_cwd_c_ag_pg,:=,i_sd_cwd_aig_c+i_sd_cwd_png_aig+sd_cwd_c,T_sd_cwd_c_ag_pg,-0.25,0.39,-0.63,0.53,-1.02,0.53,-0.25,0.03,0.22
i_shrubs_aig_n,:=,shr_aig*aig_n,i_shrubs_aig_n,0.12,0.04,2.7,0.01,0.03,0.2,0.12,0.46,0.66
i_shrubs_aig_c,:=,shr_aig*aig_c,i_shrubs_aig_c,0.16,0.06,2.67,0.01,0.04,0.28,0.16,0.44,0.63
T_shrubs_aig_n,:=,(shr_aig*aig_n)+bsc_n,T_shrubs_aig_n,0.15,0.06,2.6,0.01,0.04,0.26,0.15,0.59,0.82
T_shrubs_aig_c,:=,(shr_aig*aig_c)+shr_c,T_shrubs_aig_c,0.13,0.07,1.97,0.05,0,0.26,0.13,0.36,0.52
i_shrubs_lit_n,:=,shr_lit*lit_n,i_shrubs_lit_n,-0.08,0.05,-1.49,0.14,-0.19,0.03,-0.08,-0.31,-0.45
i_shrubs_lit_c,:=,shr_lit*lit_c,i_shrubs_lit_c,-0.12,0.08,-1.6,0.11,-0.28,0.03,-0.12,-0.34,-0.5
T_srhubs_lit_c,:=,i_shrubs_lit_c+shr_c,T_srhubs_lit_c,-0.15,0.08,-1.85,0.06,-0.32,0.01,-0.15,-0.42,-0.61
