variable,Richness only,Richness + density of key hosts,Richness + community competency
a0,"0.22 (-0.04, 0.45)","0.03 (-0.2, 0.27)","0.23 (0, 0.46)"
Year*,"-0.22 (-0.54, 0.13)","0.08 (-0.24, 0.44)","-0.15 (-0.49, 0.21)"
Forest type†,"-0.15 (-0.47, 0.22)","0.02 (-0.31, 0.39)","-0.28 (-0.62, 0.08)"
Host vegetative coverage,"0.42 (0.09, 0.76)","0.57 (0.21, 0.91)","0.39 (0.03, 0.71)"
Precipitation,"-0.73 (-1.03, -0.38)","-0.37 (-0.7, -0.01)","-0.65 (-1.01, -0.33)"
Potential solar induction,"-0.04 (-0.35, 0.28)","-0.1 (-0.42, 0.22)","-0.16 (-0.49, 0.17)"
Richness,"-0.18 (-0.5, 0.16)","-0.15 (-0.49, 0.19)","-0.02 (-0.36, 0.33)"
Bay laurel basal area,–,"1.43 (1.07, 1.79)",–
Tanoak basal area,–,"0.3 (-0.07, 0.65)",–
Community competency,–,–,"0.77 (0.41, 1.1)"
theta,"2.06 (2, 2.17)","2.14 (2, 2.38)","2.06 (2, 2.2)"
,,,
