Latin_name,Plots_present,Total_Basal_area,No._plants,No._infected_plants,Host_type
Umbellularia californica,112,40.7,1104,923,commonly symptomatic
Notholithocarpus densiflorus,108,60.4,2189,1153,commonly symptomatic
Sequoia sempervirens,70,274.7,746,8,rarely symptomatic
Quercus agrifolia,49,49.1,296,36,commonly symptomatic
Q. parvula,48,30.7,617,28,commonly symptomatic
Arbutus menziesii,43,26.4,418,0,rarely symptomatic
Q. chrysolepis,19,9.6,73,0,rarely symptomatic
Acer macrophyllum,18,2.1,36,0,rarely symptomatic
Toxicodendron diversilobum,18,>0.05,29,0,rarely symptomatic
Heteromeles arbutifolia,16,0.3,38,0,rarely symptomatic
Ceanothus oliganthus,9,0.4,94,0,nonhost
Lonicera hispidula,6,>0.05,7,0,rarely symptomatic
Pinus ponderosa,5,0.2,5,0,rarely symptomatic
Frangula californica,5,>0.05,35,0,rarely symptomatic
Aesculus californica,4,0.4,7,1,rarely symptomatic
Arctostaphylos sp. ,3,>0.05,5,0,rarely symptomatic
Q. kelloggii,3,2.2,12,0,rarely symptomatic
Q. lobata,2,0.5,7,0,nonhost
Ceanothus sp.,1,0.2,56,0,rarely symptomatic
C. papillosus,1,>0.05,18,0,nonhost
Lathyrus vestitus,1,>0.05,1,0,nonhost
Morella cerifera,1,>0.05,1,0,nonhost
Platanus racemosa,1,0.1,1,0,nonhost
Pseudotsuga menziesii,1,0.1,1,0,rarely symptomatic
Rhamnus ilicifolia,1,>0.05,1,0,nonhost
Sambucus mexicana,1,>0.05,1,0,nonhost
